Description,Name,UNII,SMILES,Target name,Target uniprot,Target gene name,Approved
"Labetuzumab govitecan has been used in trials studying the treatment of Colon Cancer, Rectal Cancer, and Metastatic Colorectal Cancer.",Labetuzumab govitecan,8E3HI6QQ9J,,"","","",false
E7820 has been investigated for the treatment of Colon Cancer and Rectal Cancer.,E-7820,TVH5K7949N,CC1=C2C(=CNC2=C(NS(=O)(=O)C2=CC=CC(=C2)C#N)C=C1)C#N,"","","",false
"Ganitumab has been used in trials studying the treatment of Colon Cancer, Rectal Cancer, Breast Cancer, Breast Tumors, and Breast Neoplasms, among others.",Ganitumab,CK1441RCZ8,,"","","",false
"Foxy-5 has been used in trials studying the treatment of Prostate Cancer, Colorectal Cancer, Metastatic Colon Cancer, Metastatic Breast Cancer, and Metastatic Prostate Cancer.",Foxy-5,CBZ9UL0ARB,CSCC[C@H](NC=O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(O)=O,"","","",false
"Conatumumab has been used in trials studying the treatment of Sarcoma, Lymphoma, Oncology, Colon Cancer, and Rectal Cancer, among others.",Conatumumab,1P48L61KM0,,"","","",false
Yttrium 90 has been investigated for the treatment of Colon Cancer and Colorectal Cancer.,Yttrium Y-90,1K8M7UR6O1,[90Y],"","","",true
"Famitinib has been used in trials studying the treatment of Colorectal Cancer, Renal Cell Cancer, Colorectal Cancer Recurrent, Colorectal Cancer Metastatic, and Metastatic Renal Cell Cancer, among others.",Famitinib,768FW21J3L,CCN(CC)CCN1CCC2=C(C(C)=C(N2)\C=C2/C(=O)NC3=CC=C(F)C=C23)C1=O,"","","",false
"JI-101 has been used in trials studying the treatment of Cancer, Colon Cancer, Neuroendocrine, Ovarian Cancer, and Advanced Solid Tumors.",CGI-1842,980M4N37DH,COC1=CC=C(Br)C=C1NC(=O)NC1=C2C=CN(CC3=CC=NC(N)=C3)C2=CC=C1,"","","",false
"LY3023414 has been used in trials studying the treatment of Neoplasm, Solid Tumor, COLON CANCER, BREAST CANCER, and Advanced Cancer, among others.",LY-3023414,C88817F47Y,CO[C@@H](C)CN1C(=O)N(C)C2=C1C1=CC(=CC=C1N=C2)C1=CC(=CN=C1)C(C)(C)O,"","","",false
"Merestinib has been used in trials studying the treatment of Cancer, Solid Tumor, Advanced cancer, ColoRectal Cancer, and Metastatic Cancer, among others.",Merestinib,5OGS5K699E,CN1N=CC2=CC(OC3=C(F)C=C(NC(=O)C4=CC=C(C)N(C4=O)C4=CC=C(F)C=C4)C=C3)=C(C=C12)C1=CNN=C1,"","","",false
